title,url,subject,modality,price,duration,registration,description
Changing the Game: Negotiation and Competitive Decision-Making,https://pll.harvard.edu/course/changing-game-negotiation-and-competitive-decision-making/2026-07,Business,In-Person,"$16,000",1 week,Starts Jul 19,
Cataracts and Other Conditions of the Aging Eye,https://pll.harvard.edu/course/cataracts-and-other-conditions-aging-eye-0,Health & Medicine,Online,$30,2 weeks,Available now,
Clinical Drug Development,https://pll.harvard.edu/course/clinical-drug-development,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Emotional Intelligence in Leadership,https://pll.harvard.edu/course/emotional-intelligence-leadership-0/2026-10,Business,In-Person,"$3,300",,Register by Sep 29,Expand your leadership capacity and create an environment that fosters emotional intelligence.
The Consultant's Toolkit,https://pll.harvard.edu/course/consultants-toolkit-0/2026-11,Business,In-Person,"$3,200",,Register by Nov 1,Refine your consulting abilities through proven techniques to improve organizational effectiveness.
Business Transformation through a Culture of Health,https://pll.harvard.edu/course/business-transformation-through-culture-health,Business,Online,Free*,9 weeks,Available now,
Data Science: Building Machine Learning Models,https://pll.harvard.edu/course/data-science-building-machine-learning-models/2026-04,Computer Science,Online,Free*,8 weeks,Opens Apr 15,
Practitioner Certificate in Question Formulation: A Foundation for Inquiry-Based Instruction,https://pll.harvard.edu/course/practitioner-certificate-question-formulation-foundation-inquiry-based-instruction,Education & Teaching,Online,$245 - $620,,Register by Mar 30,
Leading More Effective Teams,https://pll.harvard.edu/course/leading-more-effective-teams-0/2026-07,Business,In-Person,"$3,200",,Register by Jul 14,Enhance your team’s productivity to boost your organization’s capabilities.
High Potentials Leadership Program,https://pll.harvard.edu/course/high-potentials-leadership-program,Business,In-Person,"$18,000",1 week,Starts May 17,
Introduction to Digital Humanities,https://pll.harvard.edu/course/introduction-digital-humanities,Data Science,Online,Free*,7 weeks,Available now,
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",https://pll.harvard.edu/course/chinax-book-club-five-authors-five-books-five-views-china,Humanities,Online,Free*,5 weeks,Available now,
Innovation with AI in Health Care,https://pll.harvard.edu/course/innovation-ai-health-care-0,Health & Medicine,Online,"$2,600",,Register by Oct 16,
Vaccines and Viral Immunology,https://pll.harvard.edu/course/vaccines-and-viral-immunology,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Business Strategy: Evaluating and Executing the Strategic Plan,https://pll.harvard.edu/course/business-strategy-evaluating-and-executing-strategic-plan-0/2026-06,Business,In-Person,"$3,200",,Register by Jun 7,Explore the concepts and tools of strategic business management. Learn more about the organizational strategy within which managers make decisions and how it relates to competitive advantage.
The Sensitive Gut,https://pll.harvard.edu/course/sensitive-gut,Health & Medicine,Online,$30,2 weeks,Available now,
AI in Clinical Medicine,https://pll.harvard.edu/course/ai-clinical-medicine,Health & Medicine,Online Live,"$2,500",,Register by Jun 15,
"How to Bring the Real You to Work: Authenticity, Connection, and Identity",https://pll.harvard.edu/course/how-bring-real-you-work-authenticity-connection-and-identity,Business,Online,$175,,Available now,
"Compensation Committees: New Challenges, New Solutions",https://pll.harvard.edu/course/compensation-committees-new-challenges-new-solutions,Business,In-Person,"$8,250",1 week,Starts Jul 22,
Driving Digital and AI Strategy,https://pll.harvard.edu/course/driving-digital-and-ai-strategy,Business,In-Person,"$15,000",1 week,Starts Mar 29,
LGBTQ+ Leadership Program: Leading with Pride,https://pll.harvard.edu/course/lgbtq-leadership-program-leading-pride-1,Business,Blended,"$5,100",,Register by Jul 13,Make a change within your organization and propel your career forward.
"Leading People, Building Teams",https://pll.harvard.edu/course/leading-people-building-teams,Social Sciences,Online,"$1,995",3 weeks,Register by May 11,
Better Balance,https://pll.harvard.edu/course/better-balance-0,Health & Medicine,Online,$30,2 weeks,Available now,
Strategies for Leading Successful Change Initiatives: Mastery Session,https://pll.harvard.edu/course/strategies-leading-successful-change-initiatives-mastery-session-0/2026-07,Business,In-Person,"$4,200",,Register by Jul 5,"Master the key skills requisite to lead your teams through critical change initiatives. You'll learn to build trust, gain buy-in, and create inspiration and innovation that will lead to your team's success."
Financial Accounting,https://pll.harvard.edu/course/financial-accounting,Business,Online,"$1,850",8 weeks,Available now,
Strategic Sales Management,https://pll.harvard.edu/course/strategic-sales-management-0/2026-06,Business,Online Live,"$2,950",,Register by May 25,"Learn proven sales management strategies and techniques to lead yourself, your direct reports, and your organization."
Preparing to Be a Corporate Director,https://pll.harvard.edu/course/preparing-be-corporate-director,Business,In-Person,"$12,500",1 week,Starts Apr 29,
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",https://pll.harvard.edu/course/us-political-institutions-congress-presidency-courts-and-bureaucracy,Social Sciences,Online,Free*,,Available now,
Advanced Business Strategy: Gaining a Competitive Edge,https://pll.harvard.edu/course/advanced-business-strategy-gaining-competitive-edge-0/2026-08,Business,In-Person,"$4,200",,Register by Jul 26,Learn a new framework for developing a business strategy that maximizes your competitive advantage and disrupts the competition.
PredictionX: John Snow and the Cholera Epidemic of 1854,https://pll.harvard.edu/course/predictionx-john-snow-and-cholera-epidemic-1854,Health & Medicine,Online,Free*,1 week,Available now,
Innovating in Health Care,https://pll.harvard.edu/course/innovating-health-care,Business,Online,Free*,9 weeks,Available now,
Influence and Persuasion in Leadership,https://pll.harvard.edu/course/influence-and-persuasion-leadership-0,Business,In-Person,"$3,200",,Register by Mar 29,Improve your ability to influence and motivate your audience to accomplish your goals.
Introduction to Family Engagement in Education,https://pll.harvard.edu/course/introduction-family-engagement-education,Education & Teaching,Online,Free*,8 weeks,Available now,
Calculus Applied!,https://pll.harvard.edu/course/calculus-applied,Mathematics,Online,Free*,10 weeks,Available now,
Stress Management and Resiliency Training (SMART) Program,https://pll.harvard.edu/course/stress-management-and-resiliency-training-smart-program/2026-05,Health & Medicine,Online Live,$700,,Register by May 6,
Exercises for Bone Strength,https://pll.harvard.edu/course/exercises-bone-strength,Health & Medicine,Online,$30,2 weeks,Available now,
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",https://pll.harvard.edu/course/china-part-10-greater-china-today-peoples-republic-taiwan-and-hong-kong,Humanities,Online,Free*,15 weeks,Available now,
Entrepreneurship Essentials,https://pll.harvard.edu/course/entrepreneurship-essentials,Business,Online,"$1,850",4 weeks,Available now,
Strategic Sales Management,https://pll.harvard.edu/course/strategic-sales-management-0/2026-08,Business,In-Person,"$3,200",,Register by Aug 11,"Learn proven sales management strategies and techniques to lead yourself, your direct reports, and your organization."
"Tech Ethics: Critical Thinking in the Age of Apps, Algorithms, and AI",https://pll.harvard.edu/course/tech-ethics-critical-thinking-age-apps-algorithms-and-ai,Business,Online,$175,,Available now,
Innovations in Teamwork for Health Care,https://pll.harvard.edu/course/innovations-teamwork-health-care/2026-07,Business,Online,"$1,600",,Opens Jul 1,
Authentic Leadership,https://pll.harvard.edu/course/authentic-leadership-0,Business,Online Live,"$1,570",,Register by Mar 11,"Develop mindfulness and authenticity to build trust, create engagement, and promote productivity."
Authentic Leadership,https://pll.harvard.edu/course/authentic-leadership-0/2026-12,Business,Online Live,"$1,570",,Register by Nov 26,"Develop mindfulness and authenticity to build trust, create engagement, and promote productivity."
Changing the Game: Negotiation and Competitive Decision-Making,https://pll.harvard.edu/course/changing-game-negotiation-and-competitive-decision-making/2026-10,Business,In-Person,"$16,000",1 week,Starts Oct 25,
The Return of China,https://pll.harvard.edu/course/return-china,Humanities,Online,$149,6 weeks,Available now,
Agribusiness Seminar,https://pll.harvard.edu/course/agribusiness-seminar,Business,In-Person,"$12,500",,Starts Jan 10,
Disagreeing Productively and Collaborating Well,https://pll.harvard.edu/course/disagreeing-productively-and-collaborating-well,Business,Online,$175,,Available now,
Strategic Leadership,https://pll.harvard.edu/course/strategic-leadership-0/2026-12,Business,In-Person,"$4,200",,Register by Nov 23,Enhance your ability to creatively problem-solve for the demands of working in ‘the new normal'.
Presenting With Confidence (In-Person Course),https://pll.harvard.edu/course/presenting-confidence-person-course,Business,In-Person,"$1,950 - $2,150",,Register by Mar 31,
Contract Law: From Trust to Promise to Contract,https://pll.harvard.edu/course/contractsx-trust-promise-contract/2026-01,Social Sciences,Online,Free*,8 weeks,Available now,
Handel's Messiah and Baroque Oratorio,https://pll.harvard.edu/course/first-nights-handel%E2%80%99s-messiah-and-baroque-oratorio,Art & Design,Online,Free*,2 weeks,Available now,
Shakespeare’s The Merchant of Venice: Shylock,https://pll.harvard.edu/course/shakespeares-merchant-venice-shylock,Art & Design,Online,Free*,,Available now,
Health Care Leadership Essentials for Nurses,https://pll.harvard.edu/course/health-care-leadership-essentials-nurses,Health & Medicine,Online,$650,,Available now,
Policy Design and Delivery: A Systematic Approach,https://pll.harvard.edu/course/policy-design-and-delivery-systematic-approach,Social Sciences,Online,"$1,149",6 weeks,Register by Mar 12,
Managing Turbulence,https://pll.harvard.edu/course/managing-turbulence,Business,Blended,"$20,250",10 weeks,Starts Sep 20,
Senior Executives in National and International Security,https://pll.harvard.edu/course/senior-executives-national-and-international-security,Social Sciences,In-Person,"$11,500",1 week,Register by Oct 1,
"U.S. Public Policy: Social, Economic, and Foreign Policies",https://pll.harvard.edu/course/us-public-policy-social-economic-and-foreign-policies,Social Sciences,Online,Free*,,Available now,
Positive Psychology,https://pll.harvard.edu/course/positive-psychology,Health & Medicine,Online,$30,2 weeks,Available now,
Cybersecurity: The Intersection of Policy and Technology,https://pll.harvard.edu/course/cybersecurity-intersection-policy-and-technology/2027-01,Social Sciences,Online,"$5,100",1 week,Register by Dec 12,
Transforming Health Care Delivery,https://pll.harvard.edu/course/transforming-health-care-delivery,Business,Blended,"$28,000",28 weeks,Starts Oct 18,
Advanced Bioconductor,https://pll.harvard.edu/course/data-analysis-life-sciences-6-high-performance-computing-reproducible-genomics,Data Science,Online,Free*,4 weeks,Available now,
Advanced Business Strategy: Gaining a Competitive Edge,https://pll.harvard.edu/course/advanced-business-strategy-gaining-competitive-edge-0,Business,In-Person,"$4,200",,Register by Apr 26,Learn a new framework for developing a business strategy that maximizes your competitive advantage and disrupts the competition.
Executive Leaders and Government,https://pll.harvard.edu/course/executive-leaders-and-government,Social Sciences,In-Person,"$18,900",2 weeks,Register by Aug 24,
Christianity Through Its Scriptures,https://pll.harvard.edu/course/christianity-through-its-scriptures,Humanities,Online,Free*,4 weeks,Available now,
"Invasions, Rebellions, and the Fall of Imperial China",https://pll.harvard.edu/course/china-part-7-invasions-rebellions-and-end-imperial-china,Humanities,Online,Free*,15 weeks,Available now,
Power and Influence for Positive Impact,https://pll.harvard.edu/course/power-and-influence-positive-impact,Business,Online,"$1,850",6 weeks,Available now,
Genetic Testing and Sequencing Technologies,https://pll.harvard.edu/course/genetic-testing-and-sequencing-technologies,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Negotiation Skills: Strategies for Increased Effectiveness,https://pll.harvard.edu/course/negotiation-skills-strategies-increased-effectiveness-0/2026-12,Business,In-Person,"$3,200",,Register by Dec 6,Enhance your ability to negotiate through effective techniques and skills.
Introverts as Leaders: Quiet Power as a Leadership Strength,https://pll.harvard.edu/course/introverts-leaders-quiet-power-leadership-strength-0/2026-11,Business,Blended,"$3,200",,Register by Oct 22,Challenge the conventional definition of leadership. Explore the significant value of introverted personality types within an organization.
Prostate Diseases and Erectile Dysfunction,https://pll.harvard.edu/course/prostate-diseases-and-erectile-dysfunction,Health & Medicine,Online,$30,2 weeks,Available now,
Data Science: Capstone,https://pll.harvard.edu/course/data-science-capstone/2026-04,Data Science,Online,Free*,2 weeks,Opens Apr 15,
Succeeding as a Strategic CFO,https://pll.harvard.edu/course/succeeding-strategic-cfo/2026-09,Business,In-Person,"$13,000",1 week,Starts Sep 23,
Comprehensive Update in Nephrology,https://pll.harvard.edu/course/comprehensive-update-nephrology,Health & Medicine,Online Live,"$1,385",,Register by Mar 15,
"Novel Therapies for Chronic Inflammation, Autoimmunity, and Allergy",https://pll.harvard.edu/course/novel-therapies-chronic-inflammation-autoimmunity-and-allergy,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Social Entrepreneurship and Systems Change,https://pll.harvard.edu/course/social-entrepreneurship-and-systems-change,Business,Online,$199,5 weeks,Available now,
Understanding Depression,https://pll.harvard.edu/course/understanding-depression,Health & Medicine,Online,$30,2 weeks,Available now,
Introduction to Linear Models and Matrix Algebra,https://pll.harvard.edu/course/data-analysis-life-sciences-2-introduction-linear-models-and-matrix-algebra,Data Science,Online,Free*,4 weeks,Available now,
"The Science of Leadership: The Brain, Resilience, and Mindfulness",https://pll.harvard.edu/course/science-leadership-brain-resilience-and-mindfulness,Social Sciences,Online Live,"$2,950",,Register by Mar 26,
"Credential of Leadership, Impact, and Management in Business (CLIMB)",https://pll.harvard.edu/course/credential-leadership-impact-and-management-business-climb,Business,Online,"$15,000",52 weeks,Available now,
Investment Management Workshop,https://pll.harvard.edu/course/investment-management-workshop,Business,In-Person,"$12,000",1 week,Starts Jun 14,
Driving Nonprofit Performance and Innovation—Virtual,https://pll.harvard.edu/course/driving-nonprofit-performance-and-innovation-virtual,Business,Online Live,"$4,400",2 weeks,Starts Apr 16,
Leading Change and Organizational Renewal,https://pll.harvard.edu/course/leading-change-and-organizational-renewal,Business,In-Person,"$18,000",1 week,Starts Mar 15,
"Leadership in Emerging Technology: Security, Strategy & Risk",https://pll.harvard.edu/course/leadership-emerging-technology-security-strategy-risk,Social Sciences,In-Person,"$10,900",1 week,Register by Mar 9,
Bladder and Bowel Control,https://pll.harvard.edu/course/bladder-and-bowel-control,Health & Medicine,Online,$30,2 weeks,Available now,
Healing Leg Pain,https://pll.harvard.edu/course/healing-leg-pain,Health & Medicine,Online,$30,2 weeks,Available now,
Creating Brand Value,https://pll.harvard.edu/course/creating-brand-value-0,Business,Online,"$1,850",6 weeks,Available now,
The Path to Happiness: What Chinese Philosophy Teaches Us about the Good Life,https://pll.harvard.edu/course/path-happiness-what-chinese-philosophy-teaches-us-about-good-life,Humanities,Online,Free*,13 weeks,Available now,
Beyond Strategic Planning: From Implementation to Sustainment,https://pll.harvard.edu/course/beyond-strategic-planning-implementation-sustainment-0/2026-09,Business,In-Person,"$3,200",,Register by Sep 1,"Successfully navigate the challenges inherent in making your organizational, departmental, and project-specific plans come to life."
Introverts as Leaders: Quiet Power as a Leadership Strength,https://pll.harvard.edu/course/introverts-leaders-quiet-power-leadership-strength-0,Business,Blended,"$3,200",,Register by Jul 23,Challenge the conventional definition of leadership. Explore the significant value of introverted personality types within an organization.
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",https://pll.harvard.edu/course/bioethics-law-medicine-and-ethics-reproductive-technologies-and-genetics,Humanities,Online,Free*,10 weeks,Available now,
Women's Health and Menopause,https://pll.harvard.edu/course/womens-health-and-menopause,Health & Medicine,In-Person,"$1,695",,Register by Mar 27,
Leading in Artificial Intelligence: Exploring Technology and Policy,https://pll.harvard.edu/course/leading-artificial-intelligence-exploring-technology-and-policy,Social Sciences,In-Person,"$11,700",,Register by May 18,
Strategic Project Management,https://pll.harvard.edu/course/strategic-project-management-0/2026-10,Business,Online Live,"$2,950",,Register by Oct 18,"Plan, manage, and execute projects that are essential to the success of your business."
Leading Successful Programs: Using Evidence to Assess Effectiveness,https://pll.harvard.edu/course/leading-successful-programs-using-evidence-assess-effectiveness-0,Social Sciences,Online,"$5,400",1 week,Register by May 20,
Leadership Coaching Strategies,https://pll.harvard.edu/course/leadership-coaching-strategies-0/2026-11,Business,In-Person,"$3,200",,Register by Nov 8,Learn leadership coaching strategies to help your team navigate business challenges and maximize performance.
Cosmopolitan Tang: Aristocratic Culture in China,https://pll.harvard.edu/course/cosmopolitan-tang-aristocratic-culture-in-china,Humanities,Online,Free*,15 weeks,Available now,
"The Business of Entertainment, Media, and Sports",https://pll.harvard.edu/course/business-entertainment-media-and-sports,Business,In-Person,"$12,750",1 week,Starts Jun 3,
Data Science and AI Principles,https://pll.harvard.edu/course/data-science-and-ai-principles,Business,Online,"$1,200",5 weeks,Opens May 20,
Leveraging Multi-sided Platforms with AI for Business Leaders,https://pll.harvard.edu/course/leveraging-multi-sided-platforms-ai-business-leaders-0/2026-10,Business,Online Live,"$1,570",,Register by Oct 1,"Develop the strategies and skills you need to design, launch, and scale a successful and sustainable multi-sided digital platform."
Leadership Coaching Strategies,https://pll.harvard.edu/course/leadership-coaching-strategies-0,Business,In-Person,"$3,200",,Register by Apr 7,Learn leadership coaching strategies to help your team navigate business challenges and maximize performance.
"HealthXcelerate: Strategy, Policy, and Systems",https://pll.harvard.edu/course/healthxcelerate-strategy-policy-and-systems,Health & Medicine,Online,"$1,250",,Available now,
Rhetoric: The Art of Persuasive Writing and Public Speaking,https://pll.harvard.edu/course/rhetoric-art-persuasive-writing-and-public-speaking,Humanities,Online,Free*,8 weeks,Available now,
Data Science: R Basics,https://pll.harvard.edu/course/data-science-r-basics/2026-04,Data Science,Online,Free*,8 weeks,Opens Apr 15,
Emerging Leaders,https://pll.harvard.edu/course/emerging-leaders,Social Sciences,In-Person,"$11,300",1 week,Register by Mar 16,
Advanced Negotiation Skills,https://pll.harvard.edu/course/advanced-negotiation-skills-0/2026-12,Business,In-Person,"$3,200",,Register by Nov 29,Develop sophisticated negotiation skills to create value for all parties at the bargaining table.
Shakespeare’s Othello: The Moor,https://pll.harvard.edu/course/shakespeares-othello-moor,Humanities,Online,Free*,4 weeks,Available now,
Modern Masterpieces of World Literature,https://pll.harvard.edu/course/modern-masterpieces-world-literature/2026-03,Humanities,Online,Free*,8 weeks,Opens Mar 11,
Back Pain: Finding Solutions for Your Aching Back,https://pll.harvard.edu/course/back-pain-finding-solutions-your-aching-back,Health & Medicine,Online,$30,2 weeks,Available now,
"Persuasive Communication: Narrative, Evidence, and Impact",https://pll.harvard.edu/course/persuasive-communication-narrative-evidence-and-impact,Social Sciences,Online,"$4,900",2 weeks,Register by Apr 13,
Building a Legacy: Family Office Wealth Management,https://pll.harvard.edu/course/building-legacy-family-office-wealth-management,Business,In-Person,"$12,750",,Starts Mar 8,
Hinduism Through Its Scriptures,https://pll.harvard.edu/course/hinduism-through-its-scriptures,Humanities,Online,Free*,4 weeks,Available now,
Women on Boards: Getting On and Adding Value,https://pll.harvard.edu/course/women-boards-getting-and-adding-value-3,Health & Medicine,In-Person,"$3,800",,Register by May 1,
The Women's Leadership Forum,https://pll.harvard.edu/course/womens-leadership-forum,Business,In-Person,"$14,500",1 week,Starts Mar 2,
The Jewish Bible: Its History As A Physical Artifact,https://pll.harvard.edu/course/jewish-bible-its-history-physical-artifact,Humanities,Online,Free*,6 weeks,Available now,
Immune Tolerance,https://pll.harvard.edu/course/immune-tolerance,Health & Medicine,Online,$495,,Available now,
Data Science: Linear Regression,https://pll.harvard.edu/course/data-science-linear-regression,Data Science,Online,Free*,8 weeks,Available now,
Strategies for Inclusive Growth,https://pll.harvard.edu/course/strategies-inclusive-growth,Social Sciences,In-Person,"$10,600",1 week,Register by Mar 2,
Open Innovation,https://pll.harvard.edu/course/open-innovation,Business,Online,$950,5 weeks,Opens May 6,
Office Practice of Primary Care Medicine,https://pll.harvard.edu/course/office-practice-primary-care-medicine,Health & Medicine,Online Live,"$1,495",,Register by Mar 16,
Business Management: From Management to Leadership,https://pll.harvard.edu/course/business-management-management-leadership-0,Business,In-Person,"$6,150",,Register by Apr 19,Expand your business acumen to reach your full potential as a manager and leader within your organization.
Fundamentals of TinyML,https://pll.harvard.edu/course/fundamentals-tinyml,Computer Science,Online,Free*,5 weeks,Available now,
American Government: Constitutional Foundations,https://pll.harvard.edu/course/american-government-constitutional-foundations,Social Sciences,Online,Free*,,Available now,
Negotiation Strategies: Building Agreement Across Boundaries,https://pll.harvard.edu/course/negotiation-strategies-building-agreement-across-boundaries,Social Sciences,Online,"$5,100",1 week,Register by Mar 2,
Ethical Leadership,https://pll.harvard.edu/course/ethical-leadership-0,Business,Online Live,"$1,570",,Register by Aug 12,Develop the ability to lead through challenging dilemmas and competing values to promote ethical decision-making.
Deploying TinyML,https://pll.harvard.edu/course/deploying-tinyml/2026-02,Computer Science,Online,$0,,Available now,
The Health Effects of Climate Change,https://pll.harvard.edu/course/health-effects-climate-change,Health & Medicine,Online,Free*,7 weeks,Available now,
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1,Business,In-Person,"$3,200",,Register by Mar 1,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
First Nights: Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,https://pll.harvard.edu/course/first-nights-berlioz%E2%80%99s-symphonie-fantastique-and-program-music-19th-century,Art & Design,Online,Free*,3 weeks,Available now,
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,https://pll.harvard.edu/course/chinas-political-and-intellectual-foundations,Humanities,Online,Free*,15 weeks,Available now,
Foundations of Data-Driven Decision Making with AI,https://pll.harvard.edu/course/foundations-data-driven-decision-making-ai-0,Business,In-Person,"$3,200",,Register by May 26,Understand the characteristics and applications of data sets in order to communicate effectively with your teams and develop business strategies.
Marketing Analytics: Strategies for Driving Business Results,https://pll.harvard.edu/course/marketing-analytics-strategies-driving-business-results-0,Business,In-Person,"$3,200",,Register by Jun 9,Transform your marketing strategy with data-driven leadership
Lifestyle Medicine and Wellness Coaching Immersion,https://pll.harvard.edu/course/lifestyle-medicine-and-wellness-coaching-immersion,Health & Medicine,In-Person,"$3,500",,Register by Mar 25,
